Grid_ID,Latitude,Longitude,avg_speed,avg_dir
GR3_G3E32_F,34.425,128.275,21.265182648401826,156.64977168949773
GR3_G3E41_T,34.325,128.725,0.0,0.0
GR3_G3F11_A,34.975,129.025,0.0,0.0
GR3_G3F13_Q,34.575,129.075,0.0,0.0
GR3_G3F24_S,34.575,129.925,0.0,0.0
GR3_G3F34_X,34.025,129.425,0.0,0.0
GR3_F2I34_D,37.225,124.425,0.0,0.0
GR3_F2K33_I,37.175,126.175,0.0,0.0
GR3_F2K33_R,37.075,126.125,0.0,0.0
GR3_F2K33_S,37.075,126.175,0.0,0.0
GR3_F2K33_X,37.025,126.175,0.0,0.0
GR3_F2K41_S,37.325,126.675,0.0,0.0
GR3_F2N24_W,36.525,125.875,0.0,0.0
GR3_F2N42_C,36.475,125.875,0.0,0.0
GR3_F2N42_M,36.375,125.875,0.0,0.0
GR3_F2O32_J,36.425,126.475,71.16312785388128,119.14908675799087
GR3_F2O32_X,36.275,126.425,0.0,0.0
GR3_F2O43_X,36.025,126.675,0.0,0.0
GR3_F4C21_A,35.975,126.525,38.09486301369863,131.6711187214612
GR3_F4C33_P,35.075,126.025,20.911643835616438,161.04463470319635
GR3_F4G11_O,34.875,126.225,0.0,0.0
GR3_F4G31_L,34.375,126.075,0.0,0.0
GR3_F4G32_K,34.375,126.275,0.0,0.0
GR3_F4G32_W,34.275,126.375,43.149086757990865,213.90570776255709
GR3_F4G34_K,34.125,126.275,0.0,0.0
GR3_F4G41_T,34.325,126.725,0.0,0.0
GR3_F4G41_V,34.275,126.575,0.0,0.0
GR3_F4G42_D,34.475,126.925,0.0,0.0
GR3_F4G43_S,34.075,126.675,0.0,0.0
GR3_F4H22_D,34.975,127.925,2.7079908675799085,209.32602739726028
GR3_F4H22_P,34.825,127.775,0.0,0.0
GR3_F4H24_Y,34.525,127.975,0.0,0.0
GR3_F4H31_Q,34.325,127.075,0.0,0.0
GR3_F4H32_B,34.475,127.325,0.0,0.0
GR3_F4H32_I,34.425,127.425,0.0,0.0
GR3_F4H32_J,34.425,127.475,0.0,0.0
GR3_F4H32_V,34.275,127.325,0.0,0.0
GR3_F4H33_B,34.225,127.075,26.037328767123288,187.44737442922374
GR3_F4H34_I,34.175,127.425,0.0,0.0
GR3_F4H34_J,34.175,127.475,0.0,0.0
GR3_F4H41_T,34.325,127.725,0.0,0.0
GR3_F4H42_P,34.325,127.775,0.0,0.0
GR3_F4I14_A,33.725,124.275,0.0,0.0
GR3_F4I23_S,33.575,124.675,0.0,0.0
GR3_F4J31_R,33.325,125.125,0.0,0.0
GR3_F4J43_V,33.025,125.575,0.0,0.0
GR3_F4K14_J,33.675,126.475,0.0,0.0
GR3_F4K22_J,33.925,126.975,0.0,0.0
GR3_F4K22_M,33.875,126.875,0.0,0.0
GR3_F4K34_E,33.225,126.475,0.0,0.0
GR3_F4K42_E,33.475,126.975,0.0,0.0
GR3_F4K42_X,33.275,126.925,0.0,0.0
GR3_F4K43_C,33.225,126.625,0.0,0.0
GR3_F4O13_U,32.525,126.025,0.0,0.0
GR3_F4O24_T,32.575,126.975,0.0,0.0
GR3_G1E14_X,38.525,128.425,0.0,0.0
GR3_G1N23_J,36.675,129.725,0.0,0.0
GR3_G1N32_W,36.275,129.375,0.0,0.0
GR3_G3A43_L,35.125,128.575,0.0,0.0
GR3_G3B23_P,35.575,129.525,19.557762557077627,104.47385844748858
GR3_G3B23_Y,35.525,129.725,0.0,0.0
GR3_G3B32_X,35.275,129.425,0.0,0.0
GR3_G3B34_C,35.225,129.375,0.0,0.0
GR3_G3B41_H,35.425,129.625,0.0,0.0
GR3_G3B41_I,35.425,129.675,21.715867579908675,129.06552511415526
GR3_G3B41_O,35.375,129.725,0.0,0.0
GR3_G3B41_R,35.325,129.625,0.0,0.0
GR3_G3B41_U,35.275,129.525,25.395662100456622,125.17716894977168
GR3_G3E11_H,34.925,128.125,0.0,0.0
GR3_G3E11_P,34.825,128.025,0.0,0.0
GR3_G3E12_E,34.975,128.475,0.0,0.0
GR3_G3E12_T,34.825,128.475,0.0,0.0
GR3_G3E12_U,34.775,128.275,0.0,0.0
GR3_G3E13_J,34.675,128.225,0.0,0.0
GR3_G3E14_E,34.725,128.475,0.0,0.0
GR3_G3E21_B,34.975,128.575,0.0,0.0
GR3_G3E21_X,34.775,128.675,0.0,0.0
GR3_G3E22_J,34.925,128.975,0.0,0.0
GR3_G3E23_X,34.525,128.675,0.0,0.0
GR3_G3E32_G,34.425,128.325,0.0,0.0
GR3_G3E33_K,34.125,128.025,0.0,0.0
GR3_G3E33_L,34.125,128.075,0.0,0.0
GR3_G3E41_A,34.475,128.525,0.0,0.0
